Date of Stop ,Time Of Stop ,Race,Sex,Age,ReasonForStop,ResultsOfSearch,ResultOfStop,Location of Stop ,District
01-JAN-16,2309,W,F,27,2,1,3,LOMBARD ST & LAGUNA ST,E
01-JAN-16,2315,A,F,74,1,1,2,STOCKTON/FILBERT,A
01-JAN-16,2315,A,M,25,1,1,3,POLK ST & HAYES ST,B
01-JAN-16,2315,B,F,35,2,1,3,INGALLS AND HARBOR,C
01-JAN-16,2318,B,M,33,2,1,3,GOLDEN GATE AVE & HYDE ST.,J
01-JAN-16,2320,O,M,40,1,1,2,DEHARO/18TH,C
01-JAN-16,2323,O,M,32,1,1,2,CHESTNUT AND DIVISADERO,E
01-JAN-16,2325,A,F,20,1,1,2,PINE ST & POWELL ST ,A
01-JAN-16,2325,H,M,22,1,1,2,6TH ST & STEVENSON ST,B
01-JAN-16,2330,B,M,60,2,1,2,MISSION & 26TH,D
01-JAN-16,2330,W,F,24,1,1,3,ELLIS ST & STOCKTON ST,A
01-JAN-16,2335,O,M,36,2,1,2,CLAYTON & PARNASSUS,F
01-JAN-16,2335,O,M,44,1,1,2,VAN NESS /PINE,E
01-JAN-16,2337,W,M,36,2,1,2,8TH ST & MISSION ST,A
01-JAN-16,2339,W,M,59,2,1,2,HOWARD ST/HARRIET ST,B
01-JAN-16,2340,B,M,57,1,0,4,521 ELLIS ST,J
01-JAN-16,2340,O,M,31,2,1,3,CALIFORNIA ST & 5TH AVE,G
01-JAN-16,2350,B,M,40,2,1,2,HYDE ST & OFARRELL ST,A
01-JAN-16,2355,A,F,24,1,1,3,6TH STREET & HOWARD STREET,B
02-JAN-16,0001,B,M,31,1,1,3,ELLIS ST. AND MASON ST.,B
02-JAN-16,0001,W,F,46,1,1,2,MCALLISTER ST AT HYDE ST,J
02-JAN-16,0002,O,F,62,1,1,2,19TH & EUCALYPTUS,I
02-JAN-16,0012,H,M,32,2,1,3,CALIFORNIA ST & MONTGOMERY ST,A
02-JAN-16,0015,A,M,57,1,1,2,JUDAH AND 35TH,I
02-JAN-16,0015,B,F,23,1,1,2,110 CASHMERE,C
02-JAN-16,0020,B,M,25,1,1,3,COLUMBUS ST  & GRANT AVE,A
02-JAN-16,0030,O,M,20,1,1,3,FLOWER & BAYSHORE,C
02-JAN-16,0030,W,M,26,2,0,2,HYDE ST AT MCALLISTER ST,J
02-JAN-16,0049,O,M,26,1,1,2,6TH ST/BRYANT ST,B
02-JAN-16,0052,A,M,54,1,1,2,540 BARNEVELD,C
02-JAN-16,0100,W,M,23,1,1,2,VAN NESS AVE & BUSH ST,E
02-JAN-16,0105,H,M,23,2,1,2,JONES ST & SUTTER ST,A
02-JAN-16,0105,W,M,27,2,1,3,21ST AV & GEARY BL,G
02-JAN-16,0114,H,F,22,1,1,3,EMBARCADERO AND BAY,A
02-JAN-16,0120,A,M,59,1,1,3,4TH AVE & CLEMENT ST,G
02-JAN-16,0126,B,M,24,1,1,3,EMBARCADERO AND WASHINGTON,A
02-JAN-16,0137,A,M,43,1,1,2,NEW MONTGOMERY ST. & MARKET ST.,A
02-JAN-16,0138,H,M,37,5,1,3,19TH ST. & SOUTH VAN NESS AVE.,D
02-JAN-16,0142,B,M,39,2,1,3,MISSION & 22ND,D
02-JAN-16,0151,W,M,68,1,1,3,GREEN ST & STEINER ST ,E
02-JAN-16,0152,H,M,18,2,1,2,S  VAN NESS ST AT 21ST STREET NB,D
02-JAN-16,0211,H,M,67,2,1,2,SOUTH VAN NESS & 21 ST,D
02-JAN-16,0218,H,M,20,2,1,2,18TH ST & FOLSOM ST,D
02-JAN-16,0220,A,M,19,1,1,3,CALIFORNIA ST & 10TH AV,G
02-JAN-16,0225,W,M,25,1,1,2,MISSION & 23RD ST,D
02-JAN-16,0250,O,M,19,2,1,3,WHITNEY YOUNG & HUDSON,C
02-JAN-16,0300,H,F,19,2,1,2,POWELL ST & SUTTER ST,A
02-JAN-16,0303,H,M,49,2,1,2,23RD STREET  AT HARRISON ST  EB,D
02-JAN-16,0452,H,M,36,2,1,3,EMBARCADERO PIER 11,A
02-JAN-16,0625,O,F,49,1,1,2,19TH/HOLLOWAY,I
02-JAN-16,0636,O,M,41,1,1,2,19TH/WINSTON,I
02-JAN-16,0651,O,M,29,1,1,2,19TH/WINSTON,I
02-JAN-16,0700,W,F,68,1,1,3,VICENTE ST & 14TH AVE,I
02-JAN-16,0702,O,M,20,1,1,2,WINSTON/19TH,I
02-JAN-16,0712,O,M,37,1,1,2,WINSTON/19TH,I
02-JAN-16,0724,O,M,61,1,1,2,19TH/WINSTON,I
02-JAN-16,0730,B,M,28,1,1,2,COLE ST. & CARL ST.,F
02-JAN-16,0732,O,M,24,1,1,2,19TH/WINSTON,I
02-JAN-16,0734,W,M,40,1,1,2,EB 16TH ST & SB MISSION ST,D
02-JAN-16,0745,O,M,27,1,1,2,19TH/WINSTON,I
02-JAN-16,0748,H,M,27,1,1,2,UNION AND LUGUNA,E
02-JAN-16,0749,W,M,57,1,1,2,EB 16TH ST & NB MISSION ST,D
02-JAN-16,0756,O,M,26,1,1,2,19TH/WINSTON,I
02-JAN-16,0800,B,M,57,1,1,3,1200 CABRILLO,G
02-JAN-16,0805,O,M,51,1,1,2,19TH/WINSTON,I
02-JAN-16,0815,O,M,41,2,1,2,MASON ST & ELLIS  ST,J
02-JAN-16,0820,H,M,39,2,1,2,2ND/FOLSOM,B
02-JAN-16,0828,H,M,46,2,0,2,KEARNY ST. & CALIFORNIA ST.,A
02-JAN-16,0840,O,M,53,2,1,2,EDDY AND WEBSTER,E
02-JAN-16,0859,A,F,53,2,1,2,STEINER AND SUTTER,E
02-JAN-16,0900,B,F,34,2,1,2,BAYSHORE BLVD & SILVER,C
02-JAN-16,0921,W,M,33,1,1,3,GIRARD ST. & SILLIMAN ST. ,C
02-JAN-16,0946,W,F,66,1,1,2,3593 MISSION ST,H
02-JAN-16,1000,H,M,25,1,1,2,MARKET ST,B
02-JAN-16,1005,A,F,72,1,1,2,GELLERT DR & CLEARFIELD DR,I
02-JAN-16,1010,O,M,73,1,1,2,SYLVAN DR & EUCALYPTUS AVE,I
02-JAN-16,1013,W,F,28,2,1,2,23RD ST & POTRERO,D
02-JAN-16,1020,W,M,28,1,1,2,13TH ST & MISSION SI,D
02-JAN-16,1039,W,M,26,2,1,2,14TH ST AND SHOTWELL ST,D
02-JAN-16,1045,A,F,28,1,1,3,LINCOLN WY & 19TH AVE,I
02-JAN-16,1045,O,F,38,1,1,2,OAKDALE & INGALLS,C
02-JAN-16,1057,W,F,42,1,1,2,IRVING ST & 14TH AVE,I
02-JAN-16,1100,B,M,28,1,3,4,30 GROVE,J
02-JAN-16,1100,W,M,50,1,1,2,150 PARKER AVE.,G
02-JAN-16,1125,A,F,30,1,1,2,ULLOA ST & 17TH AVE,I
02-JAN-16,1134,B,M,60,2,1,3,FILLMORE ST & GROVE ST,E
02-JAN-16,1140,W,M,22,1,1,2,LAKE ST & 8TH AVE.,G
02-JAN-16,1148,A,F,45,1,1,2,NORIEGA ST & 31ST AVE,I
02-JAN-16,1155,A,M,60,2,1,2,MONTGOMERY ST & PINE ST.,A
02-JAN-16,1200,B,M,34,2,1,2,3RD ST. & JERROLD ST. ,C
02-JAN-16,1200,W,M,25,1,1,2,3RD/HOWARD ST,B
02-JAN-16,1210,A,F,36,1,1,3,NORIEGA ST & 22ND AVE,I
02-JAN-16,1225,A,M,64,1,1,2,SILLIMAN ST. & GIRARD ST. ,C
02-JAN-16,1231,O,M,25,2,1,2,FRONT ST. & PINE ST.,A
02-JAN-16,1241,A,M,38,1,1,2,SAN BRUNO AVE & SILLIMAN ST.,C
02-JAN-16,1243,W,F,27,2,1,2,GOLDEN GATE AVE & POLK ST,E
02-JAN-16,1245,O,M,30,1,1,2,ALEMANY BLVD SENECA ST,H
02-JAN-16,1245,W,M,32,1,1,3,530 BRUNSWICK ST,H
02-JAN-16,1250,B,F,45,1,1,2,SAN BRUNO AVE & SILLIMAN ST. ,C
02-JAN-16,1259,A,M,66,1,1,2,PERSIA & LONDON,H
02-JAN-16,1300,W,M,25,2,1,3,OLIVE ALLEY,E
02-JAN-16,1310,W,F,63,2,1,2,SUTTER ST. & STOCKTON ST ,A
02-JAN-16,1320,B,M,27,1,1,2,GEARY ST AND MASONIC AVE,G
02-JAN-16,1320,O,M,35,1,1,2,CABRILLO ST & FUNSTON,G
02-JAN-16,1325,A,M,36,1,1,2,1858 30TH AVE,I
02-JAN-16,1330,O,M,26,1,1,2,CABRILLO ST. $ FUNSTON AVE.,G
02-JAN-16,1345,A,M,28,1,1,2,5TH STREET @ STEVENSON,J
02-JAN-16,1350,A,M,49,1,1,2,FULTON ST. & 25TH AVE.,G
02-JAN-16,1400,B,F,56,1,1,2,NB INGALLS AND CARROLL,C
02-JAN-16,1400,W,M,59,2,1,2,2042  MISSION  ST,D
02-JAN-16,1405,A,F,54,1,1,3,BALBOA ST & FUNSTON,G
02-JAN-16,1408,H,M,46,2,1,2,9TH AVEAND MLK,G
02-JAN-16,1410,B,M,35,1,1,3,7TH AND HARRISON,B
02-JAN-16,1415,W,M,68,2,1,2,LAKE MERCED & SUNSET,I
02-JAN-16,1420,A,M,32,1,1,2,GIRRAD ST. & FELTON ST. ,C
